"ANALYTE_SYNONYM_KEY"|"DEP_PRIMARY_ANALYTE_NAME"|"DEP_ANALYTE_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"235"|"Chloride"|"16887006"|"Chlorides"|"01-JAN-2014 00:00:00"|""|""|""
"236"|"2,3',4,4',5-Pentachlorobiphenyl"|"31508006"|"2',3,4,4',5'-PCB"|"01-JAN-2014 00:00:00"|""|""|""
"237"|"2,3',4,4'-Tetrachlorobiphenyl"|"32598100"|"PCB-66"|"01-JAN-2014 00:00:00"|""|""|""
"238"|"Fluchloralin"|"33245395"|"Basalin"|"01-JAN-2014 00:00:00"|""|""|""
"239"|"2,2',5,5'-Tetrachlorobiphenyl"|"35693993"|"2,2',5,5'-PCB"|"01-JAN-2014 00:00:00"|""|""|""
"240"|"2,2',4,5,5'-Pentachlorobiphenyl"|"37680732"|"2,4,5,2',5'-PCB"|"01-JAN-2014 00:00:00"|""|""|""
"241"|"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl"|"40186729"|"PCB-206"|"01-JAN-2014 00:00:00"|""|""|""
"242"|"2,2',4,5'-Tetrachlorobiphenyl"|"41464408"|"PCB-49"|"01-JAN-2014 00:00:00"|""|""|""
"243"|"Permethrin"|"52645531"|"Permethrin- Total"|"01-JAN-2014 00:00:00"|""|""|""
"244"|"PCB-1242"|"53469219"|"Pcb-aroclor 1242"|"01-JAN-2014 00:00:00"|""|""|""
"245"|"Methiocarb"|"2032657"|"Mercaptodimethur"|"01-JAN-2014 00:00:00"|""|""|""
"246"|"4-Bromophenyl phenyl ether"|"101553"|"1-Bromo-4-phenoxybenzene"|"01-JAN-2014 00:00:00"|""|"ZIMMERMAN_JM"|"21-APR-2023 17:39:54"
"247"|"4-Bromophenyl phenyl ether"|"101553"|"Bromophenyl-4 phenyl ether"|"01-JAN-2014 00:00:00"|""|"ZIMMERMAN_JM"|"21-APR-2023 17:40:16"
"248"|"Azobenzene"|"103333"|"1,2-Diphenyldiazene"|"01-JAN-2014 00:00:00"|""|""|""
"249"|"Azobenzene"|"103333"|"benzofume"|"01-JAN-2014 00:00:00"|""|""|""
"250"|"Azobenzene"|"103333"|"Diphenyldiazene"|"01-JAN-2014 00:00:00"|""|""|""
"251"|"n-Propylbenzene"|"103651"|"Propylbenzene, n-"|"01-JAN-2014 00:00:00"|""|""|""
"252"|"n-Butylbenzene"|"104518"|"Butyl benzene"|"01-JAN-2014 00:00:00"|""|""|""
